,place,lat,lon
617,the Grand Canyon,39.2096446,-84.2703886
618,the Republic of,45.8163562,15.9729523
619,the Elbe River,,
620,Heartland,32.6894727,-96.4512417
621,Latvia,56.8406494,24.7537645
622,Brownsville,25.9024289,-97.4981698
623,the State of Colorado,40.0190125,-105.2734257
624,Saudi Arabia,25.6242618,42.3528328
625,Islamabad,33.6938118,73.0651511
626,the American Hemisphere,,
627,Central Europe,35.6701122,-95.1662695
628,Bastille,48.852987,2.3688579
629,Polynesian Island,-27.149602,-109.4322452
630,Hoping,52.7200775,8.1668579
631,Perestroika,59.9135458,10.7491595
632,Dayton,39.7589478,-84.1916069
633,Antarctica,-72.8438691,0.0
634,Columbia River,48.094132,-119.68444
635,Baal,50.9956319,4.7523911
636,merchandise&nbsp,,
637,New Mexico,34.5802074,-105.996047
638,Quemoy,49.4291044,5.5041495
639,TV.&nbsp,,
640,the Straits of Hormuz,,
641,Vermont,44.5990718,-72.5002608
642,Frederickton,-31.0316667,152.8677778
643,the Sanitary District,28.5467697,77.2395637
644,The State of Minnesota,48.6204803,-94.4978882
645,Austria-Hungary,48.257986,14.4992625
646,"class=""s1"">Gaza",,
647,Europeanstatesmen,,
648,St. Matthew,54.2686612,-2.1301712
649,Fort Miami,42.1108788,-86.4823275
650,Hon,22.2792968,114.1628907
651,the Mexican Republic,,
652,Pacific Railway,29.794905,-95.2947239
653,Baton Rouge,30.4494155,-91.1869659
654,Eastern States,1.1787184,38.6025801
655,Seattle,47.6038321,-122.330062
656,Republic,39.8266503,-97.6580834
657,crews.</span,,
658,Colombia,4.099917,-72.9088133
659,the Susquehanna River,40.1231815,-76.7161178
660,Newfoundland,49.1211912,-56.6403402
661,the Kongo Basin,,
662,Northern Ireland's,54.3477716,-6.6561943
663,South Asia,11.0046133,124.6069737
664,Warsaw,52.2333742,21.0711489
665,Bermuda,32.3040273,-64.7563086
666,JEFFERSON,29.834772,-94.1704496
667,hell.&nbsp;</span,,
668,Klukwan,59.398511,-135.8944771
669,Colombian Republic,50.8081834,4.3850761
670,New England,44.2057083,-70.7537839
671,Cincinnati,39.1014537,-84.5124602
672,Liberty,30.0856736,-94.7856262
673,Timidity,,
674,the United States Constitution,17.7367555,-64.7319344
675,the Province of East Florida,,
676,Burbank,34.1812089,-118.307201
677,COVID-19,40.4540811,-3.7056795
678,Herzl,32.0819823,34.8166592
679,North and South Carolina,54.106127,-1.235102
680,Sydney,-33.8698439,151.2082848
681,Oslo,59.9133301,10.7389701
682,Chagres,9.1205397,-80.1203349
683,china,35.000074,104.999927
684,the Bolivian Republic,,
685,Coosa,32.9181762,-86.2327497
686,Territory,44.4308975,-89.6884637
687,El Paso,31.7601001,-106.4870476
688,Camden,39.9448402,-75.1198911
689,Fort Bragg,35.140311,-79.1541465
690,Keweenaw,47.3876058,-88.0742387
691,Navy Island,43.0554109,-79.0104749
